OTU,S110_L001,S111_L001,S112_L001,S113_L001,S114_L001,S115_L001,S116_L001,S117_L001,S118_L001,S119_L001,S120_L001,S121_L001,S122_L001
60638d5ea28aeaf32a9c8915f53cbba503d1da15,0,0,1,4,1,13,7,6,1,1,0,0,1
6fa20406a544a0a8566353c797fbf3a11311fdaa,0,0,2,4,1,9,3,10,1,1,1,2,1
74cabe013e08eaadfe8c459ab353331ef543221f,0,0,3,2,0,6,2,10,3,8,0,0,1
7d974140819de9f94883f85c5bd65d6d6aa41b21,0,0,3,2,0,3,6,7,7,5,0,1,1
8478cc402a442ed507b5752a9823f8af09f1206d,0,0,5,1,2,8,3,5,2,4,0,3,2
8847c34cb8a35aed3572f64b5b7bd3fb2d6607f4,0,1,4,4,0,5,5,6,2,1,2,4,1
8884d3e9f1059e2ab5983197b5343e0116ca6a24,0,0,1,0,0,11,4,8,0,6,3,1,1
a9f09d51701087dff06bfd2c624e7685a09a7870,0,0,0,0,0,14,5,11,0,1,0,4,0
b44acf13efdb1f13c74cbf5f6a36f310017cb0dd,0,0,1,2,0,13,11,2,0,3,1,1,1
b5a5c611eb583048e26c75ab00c8fb45f77e21ed,0,0,1,1,0,10,6,6,2,2,1,5,1
b8dcb301734e3210e6ebeb62bbf72201be9c45f1,0,0,7,2,1,11,3,7,0,3,0,0,1
bfcaa8b69f10ab6059a5543190950dba2510e78b,0,0,0,5,0,18,5,4,0,2,0,1,0
c552fdc45527e5d1560f076754f5cf0feb2f7a36,0,0,2,2,0,12,4,6,2,3,0,4,0
d0f0b20c70a371d1121a6ab835512aed9de13aa0,0,0,1,3,0,9,7,9,0,3,3,0,0
dbc1d5e2d0fbe35f17af05573a4efece187f241a,0,0,4,1,0,5,5,13,1,3,0,3,0
e02a414026951ff17ffa5b9e2afbee48657b49ba,0,0,5,4,1,3,6,7,1,1,0,5,2
e08d664422bfab5c6fef8c227dc62b8c733ef014,0,0,1,2,1,7,2,11,2,5,1,1,2
e91a4815ef675854da7e3656f48232a327d4311e,0,0,1,3,2,10,5,8,0,1,0,0,5
edd62f9bbdbd377fb8de3f384ad8528c1f8312fb,0,0,4,4,3,7,6,4,0,0,0,5,2
f122c1a1536c933d826d74276d294f0a980425c9,0,0,2,3,0,9,3,13,1,1,0,3,0
f24c0fff5e535565afd404b21d7796007dc2ac58,0,0,5,0,0,8,5,11,0,2,0,4,0
